city,state,key,lat,lng
New York,New York,New YorkNew York,40.6943,-73.9249
Los Angeles,California,Los AngelesCalifornia,34.1139,-118.4068
Chicago,Illinois,ChicagoIllinois,41.8373,-87.6862
Miami,Florida,MiamiFlorida,25.7839,-80.2102
Dallas,Texas,DallasTexas,32.7936,-96.7662
Philadelphia,Pennsylvania,PhiladelphiaPennsylvania,40.0077,-75.1339
Houston,Texas,HoustonTexas,29.7869,-95.3905
Washington,District of Columbia,WashingtonDistrict of Columbia,38.9047,-77.0163
Atlanta,Georgia,AtlantaGeorgia,33.7627,-84.4225
Boston,Massachusetts,BostonMassachusetts,42.3188,-71.0846
Phoenix,Arizona,PhoenixArizona,33.5722,-112.0891
Seattle,Washington,SeattleWashington,47.6211,-122.3244
San Francisco,California,San FranciscoCalifornia,37.7562,-122.443
Detroit,Michigan,DetroitMichigan,42.3834,-83.1024
San Diego,California,San DiegoCalifornia,32.8312,-117.1225
Minneapolis,Minnesota,MinneapolisMinnesota,44.9635,-93.2678
Tampa,Florida,TampaFlorida,27.9942,-82.4451
Denver,Colorado,DenverColorado,39.7621,-104.8759
Brooklyn,New York,BrooklynNew York,40.6501,-73.9496
Queens,New York,QueensNew York,40.7498,-73.7976
Baltimore,Maryland,BaltimoreMaryland,39.3051,-76.6144
Riverside,California,RiversideCalifornia,33.9381,-117.3948
St. Louis,Missouri,St. LouisMissouri,38.6358,-90.2451
Las Vegas,Nevada,Las VegasNevada,36.2333,-115.2654
Portland,Oregon,PortlandOregon,45.5371,-122.65
San Antonio,Texas,San AntonioTexas,29.4658,-98.5254
Sacramento,California,SacramentoCalifornia,38.5667,-121.4683
San Jose,California,San JoseCalifornia,37.3021,-121.8489
Orlando,Florida,OrlandoFlorida,28.4772,-81.3369
Cleveland,Ohio,ClevelandOhio,41.4767,-81.6805
Pittsburgh,Pennsylvania,PittsburghPennsylvania,40.4396,-79.9763
Cincinnati,Ohio,CincinnatiOhio,39.1412,-84.506
Manhattan,New York,ManhattanNew York,40.7834,-73.9662
Austin,Texas,AustinTexas,30.3006,-97.7517
Kansas City,Missouri,Kansas CityMissouri,39.1239,-94.5541
Indianapolis,Indiana,IndianapolisIndiana,39.7771,-86.1458
Columbus,Ohio,ColumbusOhio,39.986,-82.9851
Virginia Beach,Virginia,Virginia BeachVirginia,36.7335,-76.0435
Charlotte,North Carolina,CharlotteNorth Carolina,35.2079,-80.8304
Bronx,New York,BronxNew York,40.8501,-73.8662
Milwaukee,Wisconsin,MilwaukeeWisconsin,43.0642,-87.9673
Providence,Rhode Island,ProvidenceRhode Island,41.823,-71.4187
Jacksonville,Florida,JacksonvilleFlorida,30.3322,-81.6749
Salt Lake City,Utah,Salt Lake CityUtah,40.7774,-111.93
Nashville,Tennessee,NashvilleTennessee,36.1715,-86.7843
Memphis,Tennessee,MemphisTennessee,35.1046,-89.9773
Richmond,Virginia,RichmondVirginia,37.5295,-77.4756
New Orleans,Louisiana,New OrleansLouisiana,30.0687,-89.9288
Raleigh,North Carolina,RaleighNorth Carolina,35.8324,-78.6438
Louisville,Kentucky,LouisvilleKentucky,38.1663,-85.6485
Oklahoma City,Oklahoma,Oklahoma CityOklahoma,35.4676,-97.5137
Bridgeport,Connecticut,BridgeportConnecticut,41.1918,-73.1953
Buffalo,New York,BuffaloNew York,42.9017,-78.8487
Hartford,Connecticut,HartfordConnecticut,41.7661,-72.6834
Fort Worth,Texas,Fort WorthTexas,32.7812,-97.3472
Tucson,Arizona,TucsonArizona,32.1545,-110.8782
El Paso,Texas,El PasoTexas,31.8479,-106.4309
Honolulu,Hawaii,HonoluluHawaii,21.3294,-157.846
Omaha,Nebraska,OmahaNebraska,41.2628,-96.0498
McAllen,Texas,McAllenTexas,26.2273,-98.2471
Albuquerque,New Mexico,AlbuquerqueNew Mexico,35.1053,-106.6464
Birmingham,Alabama,BirminghamAlabama,33.5277,-86.7987
Dayton,Ohio,DaytonOhio,39.7797,-84.1998
Rochester,New York,RochesterNew York,43.168,-77.6162
Sarasota,Florida,SarasotaFlorida,27.3386,-82.543
Fresno,California,FresnoCalifornia,36.7831,-119.7941
Allentown,Pennsylvania,AllentownPennsylvania,40.5961,-75.4755
Tulsa,Oklahoma,TulsaOklahoma,36.1284,-95.9043
Concord,California,ConcordCalifornia,37.9722,-122.0016
Cape Coral,Florida,Cape CoralFlorida,26.6445,-81.9955
Springfield,Massachusetts,SpringfieldMassachusetts,42.1155,-72.5395
Colorado Springs,Colorado,Colorado SpringsColorado,38.8674,-104.7606
Charleston,South Carolina,CharlestonSouth Carolina,32.8151,-79.963
Grand Rapids,Michigan,Grand RapidsMichigan,42.9615,-85.6557
Mission Viejo,California,Mission ViejoCalifornia,33.6095,-117.655
Albany,New York,AlbanyNew York,42.6664,-73.7987
Knoxville,Tennessee,KnoxvilleTennessee,35.9692,-83.9496
Baton Rouge,Louisiana,Baton RougeLouisiana,30.4419,-91.131
Bakersfield,California,BakersfieldCalifornia,35.353,-119.0359
Ogden,Utah,OgdenUtah,41.228,-111.9677
New Haven,Connecticut,New HavenConnecticut,41.3112,-72.9246
Columbia,South Carolina,ColumbiaSouth Carolina,34.0376,-80.9037
Akron,Ohio,AkronOhio,41.0798,-81.5219
Provo,Utah,ProvoUtah,40.2457,-111.6457
Worcester,Massachusetts,WorcesterMassachusetts,42.2705,-71.8079
Mesa,Arizona,MesaArizona,33.4017,-111.7181
Palm Bay,Florida,Palm BayFlorida,27.955,-80.6628
Toledo,Ohio,ToledoOhio,41.6639,-83.5822
Brookhaven,New York,BrookhavenNew York,40.8321,-72.9518
Murrieta,California,MurrietaCalifornia,33.572,-117.1909
Wichita,Kansas,WichitaKansas,37.6897,-97.3441
Des Moines,Iowa,Des MoinesIowa,41.5725,-93.6105
Staten Island,New York,Staten IslandNew York,40.5834,-74.1496
Long Beach,California,Long BeachCalifornia,33.798,-118.1675
Greenville,South Carolina,GreenvilleSouth Carolina,34.8362,-82.3649
Little Rock,Arkansas,Little RockArkansas,34.7255,-92.358
Harrisburg,Pennsylvania,HarrisburgPennsylvania,40.2752,-76.8843
Denton,Texas,DentonTexas,33.2176,-97.1419
Madison,Wisconsin,MadisonWisconsin,43.0827,-89.3923
Reno,Nevada,RenoNevada,39.5497,-119.8483
Port St. Lucie,Florida,Port St. LucieFlorida,27.2796,-80.3884
Oakland,California,OaklandCalifornia,37.7903,-122.2165
Winston-Salem,North Carolina,Winston-SalemNorth Carolina,36.1029,-80.261
Indio,California,IndioCalifornia,33.7346,-116.2346
Durham,North Carolina,DurhamNorth Carolina,35.9795,-78.9032
Syracuse,New York,SyracuseNew York,43.0409,-76.1438
Chattanooga,Tennessee,ChattanoogaTennessee,35.0657,-85.2487
Lancaster,Pennsylvania,LancasterPennsylvania,40.042,-76.3012
Spokane,Washington,SpokaneWashington,47.6671,-117.433
Palm Coast,Florida,Palm CoastFlorida,29.5392,-81.246
Arlington,Texas,ArlingtonTexas,32.6998,-97.1251
Bonita Springs,Florida,Bonita SpringsFlorida,26.3559,-81.7861
Poughkeepsie,New York,PoughkeepsieNew York,41.6949,-73.921
Stockton,California,StocktonCalifornia,37.9766,-121.3111
Oxnard,California,OxnardCalifornia,34.1962,-119.1819
Augusta,Georgia,AugustaGeorgia,33.3645,-82.0708
Scranton,Pennsylvania,ScrantonPennsylvania,41.4044,-75.6649
Boise,Idaho,BoiseIdaho,43.6007,-116.2312
Modesto,California,ModestoCalifornia,37.6374,-121.0028
Kissimmee,Florida,KissimmeeFlorida,28.3042,-81.4164
Youngstown,Ohio,YoungstownOhio,41.0993,-80.6463
Aurora,Colorado,AuroraColorado,39.7084,-104.7274
Anaheim,California,AnaheimCalifornia,33.839,-117.8573
Lancaster,California,LancasterCalifornia,34.6934,-118.1753
